171, 60, 781, 349, 0.9985
168, 117, 531, 319, 1.0000
171, 123, 457, 324, 1.0000
170, 86, 587, 321, 1.0000
169, 33, 532, 319, 1.0000
170, 117, 595, 466, 0.9999
1, 117, 545, 319, 0.9989
50, 32, 586, 321, 1.0000
331, 119, 586, 310, 0.9999
1, 92, 585, 351, 0.9932
294, 87, 585, 311, 0.9999
1, 58, 499, 320, 0.9818
171, 114, 457, 405, 0.9994
221, 115, 586, 302, 1.0000
218, 88, 533, 352, 0.9999
168, 149, 530, 406, 0.9981
169, 26, 478, 383, 0.9995
354, 87, 606, 311, 0.9762
216, 38, 591, 323, 1.0000
331, 53, 590, 317, 0.9693
294, 94, 586, 261, 0.9995
216, 111, 478, 322, 0.9959
168, 95, 590, 261, 0.9999
170, 111, 422, 351, 1.0000
170, 121, 559, 269, 1.0000
171, 1, 603, 294, 0.9999
